,Latitude,Longitude,TimeStamp
0,-51.4855,2.6029,1720186103
1,-51.4879,2.6524,1720186103
2,-51.4903,2.7020,1720186104
3,-51.4927,2.7515,1720186104
4,-51.4951,2.8010,1720186105
5,-51.4975,2.8506,1720186105
6,-51.5133,3.1976,1720186109
7,-51.5154,3.2473,1720186109
8,-51.5176,3.2969,1720186110
9,-51.5197,3.3464,1720186110
10,-51.5966,5.8319,1720186135
11,-51.6028,6.1805,1720186139
12,-51.6164,8.3230,1720186160
13,-51.6146,8.6718,1720186164
14,-51.6142,8.7217,1720186164
15,-51.6138,8.7715,1720186165
16,-51.6106,9.1203,1720186168
17,-51.6100,9.1701,1720186169
18,-51.6082,9.3196,1720186170
19,-51.4332,14.2366,1720186220
20,-51.4303,14.2860,1720186221
21,-51.4273,14.3354,1720186221
22,-51.4244,14.3848,1720186222
23,-51.3217,15.9130,1720186237
24,-51.3181,15.9621,1720186238
25,-51.3069,16.1096,1720186239
26,-51.3032,16.1588,1720186240
27,-51.1109,18.3607,1720186262
28,-51.1061,18.4094,1720186263
29,-51.0720,18.7501,1720186266
30,-51.0671,18.7987,1720186267
31,-51.0317,19.1388,1720186270
32,-51.0266,19.1873,1720186271
33,-51.0111,19.3328,1720186272
34,-50.8332,20.8787,1720186288
35,-50.8273,20.9268,1720186289
36,-50.8213,20.9749,1720186289
37,-50.8154,21.0230,1720186290
38,-50.7234,21.7426,1720186297
39,-50.6788,22.0774,1720186301
40,-50.6724,22.1251,1720186301
41,-50.6529,22.2684,1720186303
42,-50.6332,22.4115,1720186304
43,-50.3303,24.4488,1720186326
44,-50.3077,24.5899,1720186327
45,-50.3002,24.6369,1720186328
46,-50.2926,24.6839,1720186328
47,-50.2850,24.7308,1720186329
48,-50.2773,24.7778,1720186329
49,-50.2234,25.1060,1720186333
50,-50.2156,25.1529,1720186333
51,-50.2078,25.1997,1720186334
52,-50.1999,25.2465,1720186334
53,-50.1365,25.6202,1720186338
54,-49.7556,27.7030,1720186361
55,-49.7467,27.7489,1720186361
56,-49.7377,27.7947,1720186362
57,-49.6746,28.1153,1720186365
58,-49.6104,28.4350,1720186369
59,-49.6012,28.4806,1720186369
60,-49.5919,28.5262,1720186370
61,-49.5826,28.5717,1720186370
62,-49.5172,28.8901,1720186374
63,-49.5077,28.9355,1720186374
64,-49.4983,28.9810,1720186375
65,-49.4888,29.0263,1720186375
66,-49.4793,29.0717,1720186376
67,-49.1753,30.4688,1720186391
68,-49.1652,30.5136,1720186392
69,-49.1551,30.5583,1720186392
70,-49.1450,30.6031,1720186393
71,-49.1348,30.6478,1720186393
72,-49.1246,30.6925,1720186394
73,-48.1202,34.6767,1720186439
74,-48.1084,34.7195,1720186440
75,-48.0965,34.7623,1720186440
76,-47.1826,37.8320,1720186477
77,-47.1695,37.8733,1720186477
78,-46.5615,39.7081,1720186500
79,-46.5476,39.7484,1720186501
80,-46.5058,39.8691,1720186502
81,-46.4500,40.0298,1720186504
82,-46.0087,41.2629,1720186520
83,-45.9943,41.3024,1720186520
84,-45.9798,41.3418,1720186521
85,-45.5081,42.5915,1720186537
86,-45.4931,42.6302,1720186537
87,-45.3879,42.9004,1720186541
88,-45.3728,42.9390,1720186541
89,-45.3274,43.0544,1720186543
90,-45.3123,43.0928,1720186543
91,-45.2971,43.1312,1720186544
92,-45.2819,43.1696,1720186544
93,-45.1752,43.4378,1720186548
94,-45.1599,43.4760,1720186548
95,-45.1446,43.5142,1720186549
96,-45.1293,43.5524,1720186549
97,-45.0216,43.8190,1720186553
98,-44.9132,44.0846,1720186556
99,-44.8977,44.1224,1720186557
